encoding,method,estimate,std_error
5-level (baseline),Classic DiD,14.10044169616841,7.1307867886345075
5-level (baseline),DML-Lasso,11.64186831447202,6.982654486594308
5-level (baseline),DML-XGBoost,11.678174253810088,6.8480064621889465
2-level (coarser),Classic DiD,14.947365345525835,7.130192386040086
2-level (coarser),DML-Lasso,13.385555733769623,7.079829349215889
2-level (coarser),DML-XGBoost,11.834394876531615,6.991134910537434
