Variable,NJ_PA
FTE employment before,-2.8917607314803604
SE employment before,1.443583107583782
FTE employment after,-0.13815494849977483
SE employment after,1.077213100093051
Change in mean FTE,2.7536057829805856
SE of change in mean,1.8011996700847273
