seed,lasso_est,lasso_se,xgb_est,xgb_se
107,14.292498573522074,7.00624660232742,12.825224398467453,7.176467917487976
114,14.756414474631875,6.861551029053339,14.958814254407104,6.843483407931026
121,14.853364122808808,6.923578273407908,15.595701288528039,7.033556944522577
128,13.978040823845944,6.843176965530919,14.568404705644955,6.739732198485545
135,14.611292132350123,6.9390148462068035,14.844891204030823,6.97975336193811
142,14.605488275522973,6.890921660883835,13.287478186649588,6.852334902536112
149,15.205316765820161,6.949959974436262,14.297836040110038,7.054950479400729
156,13.404560638125258,6.894053604812766,13.828397044953842,6.75709517394676
163,14.42248415902418,6.90418053372758,13.19919587334772,6.743253420691185
170,14.658718710356172,6.815296419929154,13.168031480459405,6.830568586351788
177,11.945671748003182,6.963271570193594,10.501818189119522,7.066129711096254
184,13.700354171117308,6.937321375235009,13.599966254795394,6.982271165282943
191,15.130748523361603,6.953008441894128,13.515883171563598,7.0249990752495135
198,14.52756985050933,7.010522214960885,14.601172901343656,6.966351581861277
205,13.43032847610609,6.960105874220528,10.60904924741137,6.8745835025765105
212,13.954285085708296,7.010449951007709,12.907472159820156,6.956503574322403
219,13.5700167560104,6.9502974354185225,12.93963284321927,6.969977541356806
226,14.109467828593857,6.960310760905535,13.822129564879546,6.916590014621937
233,14.750128863046706,7.008406956951508,14.469600821818222,7.053434269953738
240,13.833094462316934,6.961342594606729,10.499733521286498,7.059193612545433
247,14.233866748622827,6.816298368753383,15.065496861960987,6.926480674480374
254,13.663968733133052,6.991907215222077,12.710019516616821,7.128261509541706
261,13.701304520048314,7.0140809206160615,11.855795170468026,7.1432699706783245
268,13.5514294441456,6.953864300086611,11.903020249416006,7.098073045663512
275,13.274348175282345,6.985920823653143,12.125418579922066,6.950546671972441
282,13.204186822079768,7.012038106210524,12.383173624611521,7.090666610994417
289,16.036018635703336,6.964271373015358,15.363968988463004,6.987555542061232
296,14.254052956777155,6.891071930293772,14.009035812905815,6.821581703567055
303,13.58324986603903,6.821260239515458,13.906469143312835,6.689196650243868
310,13.324887217842472,6.987482672141101,12.298240377358432,6.923171840507
