method,bias,empirical_sd,mean_reported_se,rmse,coverage_95
Classic DiD,0.34041246305329054,6.886112337649533,6.802550737129992,6.887640139080852,0.946
DML-Lasso,0.3607847435269118,6.874971615141652,6.70261954631877,6.877562785663768,0.946
DML-XGBoost,0.15076228869416397,7.187694588760711,6.845037711381141,7.182085829478073,0.944
