method,estimate,std_error,lower_95,upper_95
"Classic DiD (OLS, model5)",12.777320394432955,6.670939645095499,-0.2977213099542233,25.852362098820134
DML (Lasso),11.64186831447202,6.982654486594308,-2.0441344792528238,25.327871108196867
DML (XGBoost),11.678174253810088,6.8480064621889465,-1.7439184120802462,25.100266919700424
