sim,classic_est,classic_se,lasso_est,lasso_se,xgb_est,xgb_se
1,10.520181833617212,6.4182279050587505,10.689503409080725,6.32037026021104,9.865497353026294,6.527121992845374
2,8.923523317563328,6.630913710742268,10.154484693183203,6.54499536786528,6.408794694064943,6.6165194964129475
3,13.61665931461027,6.534278390155267,13.604226814774998,6.368140248697517,9.876594475616713,6.665896196740992
4,7.169475615818928,6.675221920572877,6.528134767358876,6.695602318405788,8.766118441447224,6.7669115080811775
5,11.693933355231405,6.954419675509483,11.347990124487117,6.734164808027151,11.947357786008988,7.068305194371349
6,21.433878494647047,6.962464728923811,18.442751060608845,6.7702973696475395,17.06892024929533,6.733703837142574
7,7.879859327966129,7.217264992805258,7.142251211644906,7.1607346697861205,9.555694328180536,7.2218003098822114
8,10.619779439015236,6.421647065894382,11.140944105211013,6.268239636419209,10.118158880310844,6.60918437158073
9,13.86089039725765,6.868933749646569,14.125489326631872,6.820107456622362,14.15934893922587,7.051834029197195
10,13.597825530327277,6.81695962694029,13.227831052731403,6.739712277874478,15.313734889185392,6.748685340096796
11,4.720677928862459,7.224864858849419,5.315809071700398,6.912587134367507,5.036778810366035,7.145870199672752
12,10.04210189470053,7.0223397970545856,10.260693777203644,6.863115226779368,9.476616730046977,7.003728275101951
13,10.093661514012652,6.0147461024248345,9.787682241247557,5.920236642617658,10.958133990793298,6.000936869213774
14,6.918409362677202,7.376257877217233,8.173745359669677,7.32743837386276,9.98743305767764,7.460605357650337
15,6.518649141002332,6.514090621847241,6.286580412020156,6.397805690440641,3.9971135135572955,6.4312638276316365
16,20.37971915212374,6.520835297138581,20.59786089523637,6.473080185417455,22.02593844459367,6.2537501027508355
17,4.082236119121612,7.0560148220276595,5.815683402212482,7.018461894280711,7.011448352767285,7.183100790175979
18,8.293673191720664,7.037873023065366,8.664012133888916,6.921874942665532,10.637162677719648,7.2995589262190155
19,14.424910916582846,6.590272925396325,15.670478485226557,6.561798143722311,13.0165300446817,6.4192991826667
20,11.038452403517253,6.983393549034984,11.552381263561658,6.792119542358166,10.24092474407102,7.005217483855813
21,30.175010141943947,6.788237231985264,30.44268577589197,6.687201085224974,30.625052546925772,6.734275249448706
22,11.584264405886072,6.243744827986633,11.908654834715167,6.105130463434362,10.072458262560486,6.177535281340823
23,25.319071014524773,7.282392425484269,23.73610057984018,7.182952452222618,23.319826891156122,7.236129851799716
24,18.661910288910747,7.262766957662281,20.329784888115228,7.217970255527419,20.35120043577684,7.061843526275893
25,13.000016426357599,6.964384313297033,12.190472110848587,6.795308720433754,13.829603345149353,7.128008690800507
26,15.293768909057835,6.609770394570231,15.647291138186116,6.546630402847808,12.802446694847593,6.816397868330994
27,7.742707637762704,6.0102801672110795,7.541972628731781,5.895602366634692,10.739650331802787,6.002403484696568
28,18.89692935587865,7.1355398619118,20.544628559865668,7.095768908555726,22.940862292846475,7.403020415557854
29,2.1695879733418937,6.6802892695882745,1.9981149509595801,6.676615212168475,2.6105487981581366,6.890604434926988
30,1.1533756288321886,6.85424252511495,-0.2537989163848889,6.794862421121749,1.9580491897581367,6.656504439910843
31,10.450693986473365,6.432210988746345,11.694044003981505,6.352294550154384,14.508234102278864,6.4373764552627435
32,14.900633262962456,6.929889653477902,13.019508120754793,6.715014698132713,13.151352881841062,6.881600706199587
33,24.28638707555385,7.164269106810266,22.91639800355767,6.952398387293433,22.93090676972349,7.077642772415638
