sample,method,asymptotic_hc1_se,bootstrap_se
Full (N=370),Classic DiD,7.1307867886345075,7.312569689818821
Full (N=370),DML-Lasso,6.982654486594308,7.32732364343673
Full (N=370),DML-XGBoost,6.8480064621889465,7.462084737341915
Sparse cell excluded (N=360),Classic DiD,7.232787154753166,7.234677009493077
Sparse cell excluded (N=360),DML-Lasso,7.127297930796829,7.176310467043341
Sparse cell excluded (N=360),DML-XGBoost,7.028476856512461,7.342766765814219
