method,asymptotic_hc1_se,bootstrap_se,n_boot
Classic DiD,7.1307867886345075,7.3125696898188215,1000
DML-Lasso,6.982654486594308,7.32732364343673,500
DML-XGBoost,6.8480064621889465,7.462084737341915,500
